ID,Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN4070x13895314351785308665,Citadines OMR Chennai,"Rajiv Gandhi Salai (OMR), Sholinganallur, 290, Rajiv Gandhi IT Expy, Sholinganallur, Tamil Nadu 600119",https://www.bing.com/th?id=OLC.XDf5CdkKFaQPVg480x360&pid=Local,https://www.bing.com/maps?cp=12.900404930114746%7E80.22718048095703&lvl=17.0&q=Citadines%20OMR%20Chennai%20%2C%20Rajiv%20Gandhi%20Salai%20(OMR)%2C%20Sholinganallur%2C%20290%2C%20Rajiv%20Gandhi%20IT%20Expy%2C%20Sholinganallur%2C%20Tamil%20Nadu%20600119,12.900404930114746,80.22718048095703,4.5,Tripadvisor (542),Hotel,,https://www.discoverasr.com/en/citadines/india/citadines-omr-chennai,044 7111 7111,"JSmith@discoverasr.com,John.S@the-ascott.com,frontoffice.abgc@the-ascott.com,Frontoffice.Cchb@The-Ascott.Com","{""facebook"":""https://www.facebook.com/citadinesomrchennai/"",""instagram"":""https://www.instagram.com/discoverasr/"",""twitter"":""https://twitter.com/discoverasr"",""youtube"":""https://www.youtube.com/discoverasr"",""linkedin"":""https://www.linkedin.com/company/the-ascott-limited""}",https://www.facebook.com/citadinesomrchennai/,https://www.instagram.com/discoverasr/,https://twitter.com/discoverasr
ypid:YN4070x6047055229560531511,Gokulam Park Sabari - OMR,"33, IT Expressway OMR, Near Siruseri Sipcot IT Park, Chennai (Madras) 600130",https://www.bing.com/th?id=OLC.nyhKbzA4KnLMhA480x360&pid=Local,https://www.bing.com/maps?cp=12.84218978881836%7E80.22747039794922&lvl=17.0&q=Gokulam%20Park%20Sabari%20-%20OMR%20%2C%2033%2C%20IT%20Expressway%20OMR%2C%20Near%20Siruseri%20Sipcot%20IT%20Park%2C%20Chennai%20(Madras)%20600130,12.84218978881836,80.22747039794922,4.5,Tripadvisor (503),Hotel,,https://www.gokulamhotels.com/,044 4744 5000,"crs@gokulamhotels.com,sales.kmk@gokulamhotels.com,sales.kochi@gokulamhotels.com,kpo@sarovarhotels.com,fom.kochi@gokulamhotels.com",,,,
ypid:YN4070x4840603114157498523,The Centrepoint,"No: 286, Rajiv Gandhi Salai, Old M, Ahabalipuram Road, Sholinganallur, Chennai, Tamil Nadu 600119",https://www.bing.com/th?id=OLC.hlVx6Lw2rf01/Q480x360&pid=Local,https://www.bing.com/maps?cp=12.910606384277344%7E80.22870635986328&lvl=17.0&q=The%20Centrepoint%20%2C%20No%3A%20286%2C%20Rajiv%20Gandhi%20Salai%2C%20Old%20M%2C%20Ahabalipuram%20Road%2C%20Sholinganallur%2C%20Chennai%2C%20Tamil%20Nadu%20600119,12.910606384277344,80.22870635986328,4,Tripadvisor (137),Hotel,,https://hotelcentrepoint.co.in/,096770 95576,"hr@hotelcentrepoint.co.in,mail@hotelcentrepoint.co.in,shoreconcierge@silversea.com,corporate@lhmh.co.th,balachandar@hotelcentrepoint.co.in","{""facebook"":""https://www.facebook.com/the-centre-point-144029975760058/"",""twitter"":""https://twitter.com/centrepoint1231"",""instagram"":""https://www.instagram.com/thecentrepoint/?hl=en""}",https://www.facebook.com/the-centre-point-144029975760058/,https://www.instagram.com/thecentrepoint/?hl=en,https://twitter.com/centrepoint1231
ypid:YN4070x13243222886638877936,Ginger Chennai OMR,"No 10, OMR Toll Plaza, Navalur, Chennai, Tamil Nadu 600130",https://www.bing.com/th?id=OLC.gm9uZ9NdFu+sIA480x360&pid=Local,https://www.bing.com/maps?cp=12.840314865112305%7E80.2279281616211&lvl=17.0&q=Ginger%20Chennai%20OMR%20%2C%20No%2010%2C%20OMR%20Toll%20Plaza%2C%20Navalur%2C%20Chennai%2C%20Tamil%20Nadu%20600130,12.840314865112305,80.2279281616211,5,Tripadvisor (149),Hotel,,https://www.gingerhotels.com/hotels/ginger-chennai-omr,044 6909 3233,"reservations@gingerhotels.com,aamitsaha@gmail.com,amit.saha@gingerhotels.com,axxx@gingerhotels.com,megha.divekar@gingerhotels.com",,,,
ypid:YN4070x14501701331372954644,Townhouse 1090 Fantasea Hotels Near OMR,"5 Omr, Chennai (Madras) 600119",https://www.bing.com/th?id=OLC.ped9I7DhsSyz2g480x360&pid=Local,https://www.bing.com/maps?cp=12.871902465820312%7E80.22655487060547&lvl=17.0&q=Townhouse%201090%20Fantasea%20Hotels%20Near%20OMR%20%2C%205%20Omr%2C%20Chennai%20(Madras)%20600119,12.871902465820312,80.22655487060547,3,Booking.com (61),Hotel,,https://www.oyorooms.com/189127/,0124 620 1615,"guestsupport.na@oyorooms.com,escalations@oyorooms.com,bookings@oyorooms.com","{""linkedin"":""https://www.linkedin.com/company/oyo-rooms/jobs/"",""facebook"":""https://www.facebook.com/oyoinusa/"",""instagram"":""https://www.instagram.com/oyo.usa/"",""twitter"":""https://twitter.com/oyoamerica"",""youtube"":""https://www.youtube.com/channel/uc3x8hra3zryxa9azilpx7aq/featured?view_as=subscriber/"",""pinterest"":""https://www.pinterest.com/oyorooms/""}",https://www.facebook.com/oyoinusa/,https://www.instagram.com/oyo.usa/,https://twitter.com/oyoamerica
ypid:YN4070x3452434677163975425,Venture Park OMR Thoraipakkam Chennai,"4/410, Rajiv Gandhi Salai, Chandrasekhar Avenue, Thuraipakkam, Chennai, Tamil Nadu 600097",https://www.bing.com/th?id=OLC./2UL4XK9SCzliQ480x360&pid=Local,https://www.bing.com/maps?cp=12.934309005737305%7E80.23278045654297&lvl=17.0&q=Venture%20Park%20OMR%20Thoraipakkam%20Chennai%20%2C%204%2F410%2C%20Rajiv%20Gandhi%20Salai%2C%20Chandrasekhar%20Avenue%2C%20Thuraipakkam%2C%20Chennai%2C%20Tamil%20Nadu%20600097,12.934309005737305,80.23278045654297,3,Tripadvisor (13),Hotel,,https://www.facebook.com/ventureparkindia/,044 2458 1790,,,,,
ypid:YN4070x12902777150679114999,Roundana Residency SIPCOT OMR,"213/2B, Padavettamman Kovil Street, Rajiv Gandhi Salai, Near Roundana, Omr, Kazhipattur, Contact- 9884486695, Chennai (Madras) 603103",,https://www.bing.com/maps?cp=12.881242752075195%7E80.22686004638672&lvl=17.0&q=Roundana%20Residency%20SIPCOT%20OMR%20%2C%20213%2F2B%2C%20Padavettamman%20Kovil%20Street%2C%20Rajiv%20Gandhi%20Salai%2C%20Near%20Roundana%2C%20Omr%2C%20Kazhipattur%2C%20Contact-%209884486695%2C%20Chennai%20(Madras)%20603103,12.881242752075195,80.22686004638672,5,Tripadvisor (6),Hotel,,https://www.prohotel.in/,098844 86695,"sales@prohotel.in,naveenagrand@prohotel.in,hr@prohotel.in.th","{""linkedin"":""https://www.linkedin.com/company/14706683/admin/page-posts/published/"",""facebook"":""https://www.facebook.com/profile.php?id=61562975723193"",""instagram"":""https://www.instagram.com/prohotel.chennai/"",""youtube"":""https://www.youtube.com/@swarnasudarshan9703""}",https://www.facebook.com/profile.php?id=61562975723193,https://www.instagram.com/prohotel.chennai/,
ypid:YN4070x5190889845626699185,OYO Townhouse 684 Admire Suite Omr,"No 1, Navalur, Zone 15 Sholinganallur Tiruporur, Sholinganallur, Chengalpattu, Chennai, Tamil Nadu 600119",https://www.bing.com/th?id=OLC.tPjVISltuOuNeg480x360&pid=Local,https://www.bing.com/maps?cp=12.876283645629883%7E80.22798156738281&lvl=17.0&q=OYO%20Townhouse%20684%20Admire%20Suite%20Omr%20%2C%20No%201%2C%20Navalur%2C%20Zone%2015%20Sholinganallur%20Tiruporur%2C%20Sholinganallur%2C%20Chengalpattu%2C%20Chennai%2C%20Tamil%20Nadu%20600119,12.876283645629883,80.22798156738281,2.5,Agoda (64),Hotel,,https://www.oyorooms.com/162936/?utm_source=Google_gmb&utm_medium=Organic&utm_campaign=CHN1846&latitude=12.8764741037559&longitude=80.2271007187664&locale=en,0124 620 1615,"guestsupport.na@oyorooms.com,vcdesk@oyorooms.com,bookings@oyorooms.com,press@oyorooms.com","{""linkedin"":""https://www.linkedin.com/company/oyo-rooms/jobs/"",""facebook"":""https://www.facebook.com/oyoinusa/"",""instagram"":""https://www.instagram.com/oyo.usa/"",""twitter"":""https://twitter.com/oyoamerica"",""youtube"":""https://www.youtube.com/channel/uc3x8hra3zryxa9azilpx7aq/featured?view_as=subscriber/"",""pinterest"":""https://www.pinterest.com/oyorooms/""}",https://www.facebook.com/oyoinusa/,https://www.instagram.com/oyo.usa/,https://twitter.com/oyoamerica
ypid:YN4070x15185309635308778924,OYO 39354 Bharath Residency,"Bharath Residency, H3, Mondrian Apartment IV Block, 3rd Floor NO 475, Rajivgandhi Salai OMR, Next TO Vestas Company, Chennai, Tamil Nadu 600119",https://www.bing.com/th?id=OLC.xUrUPLJJY2tnhQ480x360&pid=Local,https://www.bing.com/maps?cp=12.904009819030762%7E80.2275161743164&lvl=17.0&q=OYO%2039354%20Bharath%20Residency%20%2C%20Bharath%20Residency%2C%20H3%2C%20Mondrian%20Apartment%20IV%20Block%2C%203rd%20Floor%20NO%20475%2C%20Rajivgandhi%20Salai%20OMR%2C%20Next%20TO%20Vestas%20Company%2C%20Chennai%2C%20Tamil%20Nadu%20600119,12.904009819030762,80.2275161743164,2,Agoda (4),Hotel,,https://www.oyorooms.com/57640/,0124 620 1305,"guestsupport.na@oyorooms.com,vcdesk@oyorooms.com,bookings@oyorooms.com,press@oyorooms.com","{""linkedin"":""https://www.linkedin.com/company/oyo-rooms/jobs/"",""facebook"":""https://www.facebook.com/oyoinusa/"",""instagram"":""https://www.instagram.com/oyo.usa/"",""twitter"":""https://twitter.com/oyoamerica"",""youtube"":""https://www.youtube.com/channel/uc3x8hra3zryxa9azilpx7aq/featured?view_as=subscriber/"",""pinterest"":""https://www.pinterest.com/oyorooms/""}",https://www.facebook.com/oyoinusa/,https://www.instagram.com/oyo.usa/,https://twitter.com/oyoamerica
ypid:YN4070x7596198767931193674,Livn Stays-Unit of Prohotel,"Nehru Nagar, OMR IT Expressway, Adroit Fortune, No:444/2A & B, Sholinganallur, Chennai 600119",https://www.bing.com/th?id=OLC.C2iyVnY7WnNJkA480x360&pid=Local,https://www.bing.com/maps?cp=12.90902042388916%7E80.23175048828125&lvl=17.0&q=Livn%20Stays-Unit%20of%20Prohotel%20%2C%20Nehru%20Nagar%2C%20OMR%20IT%20Expressway%2C%20Adroit%20Fortune%2C%20No%3A444%2F2A%20%26%20B%2C%20Sholinganallur%2C%20Chennai%20600119,12.90902042388916,80.23175048828125,,,Hotel,,,093449 99783,,,,,
